# ----------------------------------------
www.victusspiritus.com/
Top Content
"December 9, 2009","December 9, 2010"
# ----------------------------------------

# ----------------------------------------
# Graph
# ----------------------------------------
Month,Pageviews
"Jan 1, 2010 - Jan 31, 2010","5,264"
"Feb 1, 2010 - Feb 28, 2010","7,696"
"Mar 1, 2010 - Mar 31, 2010","4,763"
"Apr 1, 2010 - Apr 30, 2010","7,379"
"May 1, 2010 - May 31, 2010","7,336"
"Jun 1, 2010 - Jun 30, 2010","9,013"
"Jul 1, 2010 - Jul 31, 2010","5,245"
"Aug 1, 2010 - Aug 31, 2010","7,180"
"Sep 1, 2010 - Sep 30, 2010","13,394"
"Oct 1, 2010 - Oct 31, 2010","19,978"
"Nov 1, 2010 - Nov 30, 2010","12,673"

# ----------------------------------------
# Table
# ----------------------------------------
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit,$ Index
/2010/09/11/holy-crap-minecraft/,12409,8120,88.01986316486426,0.5583271283196823,0.6348617938592956,0.0
/,8108,6023,95.75725359911407,0.5208070617906684,0.4431425752343365,0.0
/2009/12/24/making-prodigys-smack-my-bitch-up-in-ableton-by-jim-pavloff/,7391,6751,355.34684147794997,0.9022713687985654,0.8864835610878095,0.0
/2010/10/05/distributed-social-app-with-couchdb-brilliant/,6346,5794,479.84,0.8315132605304212,0.8187834856602584,0.0
/2010/02/07/choice-is-beauty-why-im-leaving-apple-mobile-for-android/,4331,4111,342.1389645776567,0.9274649618883698,0.9152620641884092,0.0
/2010/09/29/youre-never-given-time-to-build-you-have-to-take-it/,4026,3914,242.76704545454547,0.9612721210566813,0.9562841530054644,0.0
/2010/06/12/why-vcs-prefer-firing-founders/,2897,2745,376.9015873015873,0.9017298490982701,0.8912668277528478,0.0
/2010/09/04/first-impressions-of-sitting-a-web-app-on-couchdb/,2819,2612,781.0236842105263,0.8785769528228925,0.8652004256828663,0.0
/2010/11/13/data-driven-startups-by-david-cancel/,2145,2040,503.9877300613497,0.9325787401574803,0.924009324009324,0.0
/2009/10/15/how-to-embed-google-wave-on-your-wordpress-blog/,1902,1391,243.0140252454418,0.6602516654330126,0.6251314405888538,0.0
